Obj;2060,028320
Time;20,156000
Vehicle;Orig;Dest;Dist;Rel;Dead;ServTime;DemDest;ArrTimeDest;ArrBattDest;ArrLoadDest;RecTime;PlugUsed;StartRecharging;
1;0;6;37,052891;9,480000;17,070000;0,490000;41;9,480000;8,442066;381;0,000000;0;0,000000
1;6;5;6,216310;9,140000;15,980000;0,450000;50;10,094325;7,509620;331;0,000000;0;0,000000
1;5;9;0,332415;12,180000;19,670000;0,430000;43;12,180000;7,459757;288;0,000000;0;0,000000
1;9;15;2,026745;9,260000;15,220000;0,300000;30;12,650536;7,155746;258;0,000000;0;0,000000
1;15;3;2,390837;8,060000;14,230000;0,210000;21;12,998352;6,797120;237;0,000000;0;0,000000
1;3;12;5,085519;14,370000;24,480000;0,450000;41;14,370000;6,034292;196;0,000000;0;0,000000
1;12;13;0,908019;9,530000;16,430000;0,410000;34;14,838161;5,898089;162;0,000000;0;0,000000
1;13;1;1,178899;13,620000;22,170000;0,280000;23;15,271738;5,721254;139;0,000000;0;0,000000
1;1;10;2,540020;15,680000;25,940001;0,190000;21;15,680000;5,340251;118;0,000000;0;0,000000
1;10;4;4,982620;11,520000;20,200001;0,170000;21;15,969652;4,592858;97;0,000000;0;0,000000
1;4;7;6,973565;14,040000;22,389999;0,250000;31;16,279123;3,546824;66;0,000000;0;0,000000
1;7;31;8,798421;0,000000;0,000000;0,000000;0;16,705091;2,227060;66;0,982784;1;16,705091
1;31;0;27,950850;0,000000;0,000000;0,000000;0;18,246893;0,000000;66;0,000000;0;0,000000
2;0;8;43,457851;3,900000;7,340000;0,280000;35;3,900000;7,481322;387;0,000000;0;0,000000
2;8;11;7,787225;3,840000;8,480000;0,380000;42;4,335745;6,313238;345;0,000000;0;0,000000
2;11;2;3,818088;6,800000;12,920000;0,380000;48;6,800000;5,740525;297;0,000000;0;0,000000
2;2;14;4,128355;3,700000;7,580000;0,420000;38;7,262568;5,121272;259;0,000000;0;0,000000
2;14;31;8,572421;0,000000;0,000000;0,000000;0;7,854016;3,835408;259;0,178609;1;7,854016
2;31;0;27,950850;0,000000;0,000000;0,000000;0;8,591642;0,000000;259;0,000000;0;0,000000
3;0;22;34,727356;10,690000;18,360001;0,200000;22;10,690000;8,790896;400;0,000000;0;0,000000
3;22;19;3,157293;9,030000;15,200000;0,300000;27;10,953145;8,317303;373;0,000000;0;0,000000
3;19;26;1,518189;13,210000;21,160000;0,380000;42;13,210000;8,089574;331;0,000000;0;0,000000
3;26;24;1,802501;13,400000;22,139999;0,490000;45;13,626050;7,819199;286;0,000000;0;0,000000
3;24;16;6,668019;8,500000;14,820000;0,280000;25;14,249410;6,818995;261;0,000000;0;0,000000
3;16;28;9,211959;13,120000;21,120001;0,260000;29;14,713649;5,437201;232;0,000000;0;0,000000
3;28;29;2,312619;15,720000;24,709999;0,490000;41;15,720001;5,090309;191;0,000000;0;0,000000
3;29;23;3,131661;11,140000;19,190001;0,280000;35;16,272635;4,620560;156;0,000000;0;0,000000
3;23;20;6,471491;10,030000;16,770000;0,340000;31;16,682064;3,649836;125;0,000000;0;0,000000
3;20;32;8,042003;0,000000;0,000000;0,000000;0;17,182905;2,443536;125;0,874546;1;17,182905
3;32;0;27,950850;0,000000;0,000000;0,000000;0;18,616468;0,000000;125;0,000000;0;0,000000
4;0;21;40,141716;3,190000;7,610000;0,270000;30;3,190000;7,978742;392;0,000000;0;0,000000
4;21;18;3,912338;1,670000;4,140000;0,530000;48;3,538247;7,391891;344;0,000000;0;0,000000
4;18;25;10,456600;3,460000;6,950000;0,480000;48;4,277379;5,823401;296;0,000000;0;0,000000
4;25;17;1,077868;4,190000;8,530000;0,290000;32;4,778936;5,661721;264;0,000000;0;0,000000
4;17;27;8,007697;6,010000;11,950000;0,340000;31;6,010000;4,460567;233;0,000000;0;0,000000
4;27;30;6,596036;7,300000;12,750000;0,560000;47;7,300000;3,471161;186;0,000000;0;0,000000
4;30;32;6,716725;0,000000;0,000000;0,000000;0;7,994335;2,463652;186;0,864488;1;7,994335
4;32;0;27,950850;0,000000;0,000000;0,000000;0;9,417839;0,000000;186;0,000000;0;0,000000
